Course Number,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
ANTH 21426,"In this course we explore the growing fields of more-than-human and 'multispecies' ethnography. We will examine theoretical antecedents promoting the inclusion of non-human social actors in ethnographic analysis and read many examples of such work, including foundational texts on interspecies engagements, exploitations, and dependencies by Deborah Bird Rose, Kim Tallbear, Eduardo Kohn, Anna Tsing, and Augustin Fuéntes among many others. We will consider the role other species and 'actants' played in early social science work and contemplate recent studies of ""becoming with"" other animals, plants, fungi, bacteria-encountering complex ecological kin relationships, examining naturalcultural borders, and querying decolonial legacies and the role of ecofeminist thought and queer ecologies in the 'more-than' turn. Multispecies and posthumanist approaches encourage a decentering of traditional methodologies; we will thus couple ethnographic examples with literature by geographers, biologists, and philosophers. The course is a discussion-based seminar, with significant time devoted to understanding the logistical or methodological aspects of 'more than' work-to querying how such studies have been conducted in practice. The final paper in the course will take the form of an exploratory essay (ethnographic, historical, or theoretical) based on data and observations collected during previous weeks.","Wilhoit, Mary","Spring
Winter",,
ANTH 21428,"This course is a critical examination of the ways in which data on the behavior, morphology, and genetics of apes have been used to elucidate human evolution. We emphasize bipedalism, hunting, meat eating, tool behavior, food sharing, cognitive ability, language, self-awareness, and sociability. Visits to local zoos and museums, film screenings, and demonstrations with casts of fossils and skeletons required.",Russell Tuttle,,"BIOS 10130 or BIOS 10140. NO BIOLOGICAL SCIENCES MAJORS OR NON-BIOLOGY PRE-MED STUDENTS, except by petition. Preference to 3rd and 4th year Anthropology Majors.",
ANTH 21740,"Ecological governance has emerged as an aspirational concept in recent years in political science, philosophy, and anthropology in response to concerns over the increasing likelihood of an unprecedented global ecological crisis as a result of human driven climate change. This course will trace the conceptual genealogy of ecological governance in Western and Eastern political theory and environmental history as it explores the political ecologies of Israel and the Middle East. In so doing, the course embarks from the assertion that environmental justice and the struggle for justice overall are inseparable challenges. Of central concern will be to understand how Israel's politics, culture, and history technological development together with its particular environmental conditions provide conceptual and methodological interventions into current and historical articulations of ecological governance.
Note: Enrollment in this class is by consent only. Please request via the enrollment site.",Michael Fisch,,,
ANTH 22020,"This course critically examines gender, agency, and liberation in the Middle East. The course will begin with a discussion of human agency, its relation to sociocultural context, and the feminist literature on the issues of agency, resistance, and liberation. Then, we will explore these relationships in non-Western contexts by drawing examples from Turkey, Iran, and Northern Syria. In the cases of Turkey and Iran, we will focus on the feminist movements and women's collective actions for the right to wear and take off the headscarf. In the case of Northern Syria, we will explore the agencies of Kurdish female guerrillas and their conceptions of empowerment. In each case, we will focus on the moral and ethical principles that guide women's choices and trace their sociohistorical foundations.",S. Numanbayraktaroglu,"Autumn
Note(s): Catalog content areas: 3, C",,
ANTH 22111,"Karla FC Holloway proposes the concept of ""black death,"" arguing that ""African Americans' particular vulnerability to an untimely death in the United States intimately affects how black culture both represents itself and is represented."" Whether attributable to Holloway or not, the term 'Black death' circulates in scholarship, popular media, and political discourses arguably because it apprehends a commonsensical, albeit unfortunate, understanding of the relationship between death and Black people. This seminar-style course surveys death as an object of inquiry, metaphor, political occasion, and inspiration for aesthetic creation. The course is primarily Black Studies in its frameworks and subject matter- reading texts and other materials across disciplines, genres, and media. The course recognizes that the threads of race and death are inherently global and connected to European colonial imperial expansion, racism, capitalism, and modernity. Throughout the course we ask: What is the relationship between Black people or blackness and death? Is ""Black death"" unique? How do we take seriously ubiquitous legacies of violence while also accounting for socio-historical specificity? What are the attendant practices, creations, and modes of thinking and being associated with Black death? At the end of the course, students will have honed skills in close reading, critical thinking, and thoughtful discussion through the study of race and death.",LaShaya Howie,Spring,This is an advanced level course; students should have taken at least one course introductory critical race theories course prior to enrolling.,
ANTH 22131,"Water is shockingly bizarre in its properties and of unsurpassed importance throughout human history, yet so mundane as to often be invisible in our daily lives. In this course, we will traverse diverse perspectives on water. The journey begins with an exploration of the mysteries of water's properties on the molecular level, zooming out through its central role at biological and geological scales. Next, we travel through the history of human civilization, highlighting the fundamental part water has played throughout, including the complexities of water policy, privatization, and pricing in today's world. Attention then turns to technology and innovation, emphasizing the daunting challenges dictated by increasing water stress and a changing climate as well as the enticing opportunities to achieve a secure global water future.",Seth Darling,Winter,None,
ANTH 22165,"Euro-American discourse has often portrayed Africa as either a place without science and technology or as the home of deep and ancient wisdom. European imperialists used the alleged absence of science and technology as a justification for colonialism while pharmaceutical companies sought out African knowledge about healing plants. In addition to their practical applications, science and technology carry significant symbolic weight in discussions about Africa. In this class, we examine the politics of scientific and technical knowledge in Africa with a focus on colonialism and its aftermath. How have different people produced and used knowledge about the environment, medicine, and technology? What kinds of knowledge count as indigenous and who gets credit for innovation? How have independent African governments dealt with the imperial legacies of science? From the interpretation of archaeological ruins to the design of new medical technologies, this class will examine science and technology as political practice in Africa.",,,,
ANTH 22202,"This seminar course explores anthropological approaches to caste. We will survey colonial ethnological accounts to structuralist, transactionalist, historical anthropological, and contemporary ethnographic accounts of forms of caste difference, identity, and violence in South and East Asia, with an eye to comparison to other forms of invidious social difference in other times and cultures.",Constantine Nakassis,,,
ANTH 22367,"This is a reboot of a course on theories of space and place (ANTH 28510), but with newfound attention to 1) the interleaving of human/nonhuman life and non-life in the making of place, and 2) the undoing of landscape arrangements created by capitalist exploitation, environmental devastation, ecological racism...",Francois Richard,,,
ANTH 22415,"Technology is ubiquitous in contemporary life. Yet technological developments continue to infatuate and inspire in us feelings of excitement, hope and fear. How are we to understand the uncanny relationship between the human and technology? What does this relationship disclose about human agency and creativity? If human life is unimaginable without tools, artifacts, memory supports, and machines, how might we gain the critical distance necessary to properly assess the human-technical relation?
In this course we will open up an inquiry into the question of technology by considering the ways in which technical objects, processes, and systems interrupt, challenge, and constitute human subjectivity. Readings will include texts by Martin Heidegger, Friedrich Kittler, Bernard Stiegler, Gilbert Simondon, Katherine Hayles and others.",Sara-Jo Swiatek,Autumn,,
ANTH 22450,"This course focuses on the relationship, in theory and in practice, between language, gender, and sexuality. We begin with a brief overview of the field and some of its major theoretical developments. Then we expand on themes of desire and identity; binaries and normativities; embodiment; ""interstices""; and performativity. The practical component of the course includes critical analysis of language used to construct gender and sexuality (e.g. in drag shows, communities you belong to personally, social media, and current events). We also consider binary language reform, abolition of linguistic gender systems, and emergence of identity categories as practices of everyday relationality that contest hegemonic systems. Readings are interdisciplinary and draw from fields including Linguistics, Anthropology, Performance Studies, Literary Studies, and Queer Studies.",,,,
ANTH 22531,"This seminar introduces students to Visual Anthropology through a survey of film as an instrument and object of ethnographic practice. Specifically, it explores ethnographic film as a genre for representing ""reality,"" anthropological knowledge and distinct cultural lives. We will examine how ethnographic film and its proto-cinematic precedents (e.g., the panorama, the magic lantern) emerged in particular intellectual and political economic contexts as well as how subsequent conceptual and formal innovations in audiovisual production, including recent digital transformations, have shaped the genre. We will also consider social responses to ethnographic film in terms of 1) the contexts for producing and circulating these works, 2) the ethical and political concerns raised by cross-cultural representation and 3) the development of indigenous media and other practices in conversation with ethnographic film. Throughout the course, we will situate Visual Anthropology within the larger anthropological project for representing ""culture,"" addressing the status of ethnographic film in relation to other documentary practices including written ethnography, museum exhibitions, photography, documentary film, graphic illustrations (""manga"" ethnography), and new digital forms of engagement (Web 2.0, interactive gaming, augmented & virtual reality). Besides film screenings and writing exercises, students will have an opportunity to develop and ""pitch"" their own original Visual Anthro project.","Julie Y. Chu
Note(s): Primarily for undergraduates; others only with consent of instructor",,,
ANTH 22547,"This course explores extralegal violence primarily in the US, from decolonial struggles to white mobs to self and community defense by marginalized peoples. How do we understand different forms of violence, defense, and resistance in relation to the violence of the state? What role does violence play in struggles for justice and freedom? This seminar surveys a range of social science approaches to these questions. In addition to reading the work of anthropologists, historians, and philosophers, we will also take up these themes as they appear in popular media and current events.",,,,
ANTH 22625,TBD,,,,
ANTH 22710,"Relations of communication, as well as coercion, are central though less visible in Weber's famous definition of the state as monopoly of legitimate violence. This
course reconsiders the history of the state in connection to the history of signs.
Thematic topics (and specific things and sites discussed) include changing semiotic technologies; means; forces and relations of communication (writing, archives, monasteries, books, ""the"" internet); and specific states (in early historic India and China, early colonial/revolutionary Europe, especially France, Britain, and Atlantic colonies, and selected postcolonial ""new nations"").",J. Kelly,,,
ANTH 22712,"Western ideas about ""actually existing"" socialism are dominated by the failures and tyranny of the Soviet bloc.  But decolonizing Asia may have a different story to tell.  Tracking revolutionary information technology, new statistical and social sciences, and cybernetic techniques for governance entering into Asia in the era of decolonization, partitions and the Bandung Conference, this course reconsiders plural possible socialisms, not based on earlier European histories in which the ends exceeded the means, but on later Asian histories.  These are not so much histories of self-determination and worldmaking, as scientific and social, self and world refashioning.  This course is intended to be of interest to any student interested in the applying techniques of science and technology studies to the history of social science, interested in the history of applied science outside the west, and/or in Asian decolonization, and/or in the past, present, and future of socialism.",John D. Kelly,,,
ANTH 22727,"The premise for this course is that anthropology, as well as other domains of social inquiry, have unacknowledged and unredeemed debts to captivity as structure, experience, and event, from the penal colony to the slave plantation. This course is an attempt to begin to think about those debts through readings in anthropology, history, and philosophy.",Darryl Li,,"Open only to 3rd and 4th year students in the College, with some preference for majors in Anthropology & LLSO.
Note(s): Advanced undergraduate seminar.",
ANTH 22733,"This course serves as an introduction to Black Radical Tradition as an insurgent political formation and intellectual practice. While many genealogies of Black Studies depart from the formal institutionalization of Black Studies departments and programs in the latter half of the 20th Century, this course is differently attuned to the dialectic of Black thought and Black insurgency in which the latter-what C.L.R. James describes as a history of Pan-African revolt against the plantation and its afterlives-is always a precondition of the former. As a critical survey of said histories and the ideas derived from them, this course will examine the relationship between knowledge production (theory) and material struggle (praxis) in the Black Radical Tradition alongside adjacent but distinct political traditions such as Marxism and anarchism. Born out of a protracted ""state of emergency,"" the Black Radical Tradition permits us to appraise, critique, and confront the alarms raised by the COVID-19 pandemic and global climate collapse alongside settler colonialism and plantation slavery in the longue duree. To this end, students will consult non-fiction, literature, art, and film from authors and creators such as James, Audre Lorde, Lizzie Borden, W.E.B. Du Bois, Josina Machel, Kimathi Mohammed, and Lorenzo Ervin.",Ryan Jobson,,,
ANTH 22750,"This course will explore understandings of power and its production articulated by ethnographers and political theorists whose work has been influential in anthropology. We will focus on competing claims to sovereignty and authority that reveal the tentative, emergent, and contingent nature of power. Spanning various regions, the course content will elucidate the tensions between nation-states, informal/illegal networks, and the actions and aspirations of individual subjects. Some of the questions we will raise include: What are the roles of performances, narratives, and acts of exclusion and violence in the making of sovereignty and authority? How are competing de facto and de jure forms of power negotiated in various spaces ranging from the institutional to the intimate? The centrality of both physical violence and the complacency born of naturalized political institutions and economic rationality will arise in our examinations of political mobilization and possibility. This course will give students opportunities to develop conceptual understandings of various modes of power that offer insights into the forces of colonialism, global interconnectivity, and politics that shape the 21st century world. As this is a methodology course (fulfilling the MAPSS requirement), students will spend substantial class time reflecting upon the theoretical approaches of contemporary ethnographers and developing their own theoretical approaches to their thesis projects.","Gross, Victoria",,,
ANTH 22755,"The Idea of Africa, a new interdisciplinary course, offers undergraduates students an opportunity to engage critically with key philosophical and political debates about contemporary Africa on the continent and globally. The course takes its title from V.Y. Mudimbe's 1994 book which builds on his earlier work The Invention of Africa. It asks three questions: (1) How and to what purposes has Africa been conceived as metaphor and concept. (2) How might we locate Africa as a geographic site and conceptual space to think through contemporary debates about citizenship, migration and new structures of political economy? (3) What futures and modes of futurity are articulated from the space and metaphor of Africa? This lecture course co-thought in an interdisciplinary mode will include public guest lectures, field trips, and engagement with visual arts, and film related to the themes of the course. The course will be divided into the following four sections: 1) Inventing Africa; 2) Political Trajectories; 3) Afro-Mobilities; 4) Afro-Futures.","Natacha Nsabimana & Adom Getachew
Note(s): Cap 50",,,
ANTH 22765,"This introductory graduate course will examine understandings of power articulated by influential political theorists and ethnographers. We will explore key theoretical concepts, including discipline, governmentality, sovereignty, hegemony, agency, and resistance, as well as their application within textured, intersubjective, and affectively oriented ethnographic texts. 
Seeing power grounded in tentative and unstable practices, we will focus on the tensions between nation-states, informal networks, and the actions and aspirations of individual subjects. How are attempts to consolidate power articulated in performances, narrative histories, and acts of exclusion and violence? How are competing de facto and de jure powers negotiated in various spaces ranging from the institutional to the intimate? The centrality of both physical violence and the complacency born of the naturalized hegemony of political institutions and economic rationality will arise in our examinations of political mobilization and possibility. This course will give students opportunities to develop conceptual understandings of various modes of power that offer insights into the forces of colonialism, global interconnectivity, and violence that shape the 21st century world.",Victoria Gross,Spring,,
ANTH 22770,"This introductory graduate course examines the nature of power and status through the theoretical lens of performativity. We will engage with notions of performativity, articulated by influential theorists of linguistics, gender, and religion, that demonstrate the abilities of performances to effect change in the world. Thinking with performativity, we will interrogate practices of negotiating power and status in a broad range of social, political, and geographical contexts. How is the power made and unmade through particular acts? How is status, a particular type of power differentiation, created collectively and individually through acts of saying and doing? Such questions will animate our explorations of power and status in recent ethnographies focused on Asia, the Americas, and Europe.",Victoria Gross,Winter,,
ANTH 22826,"What is a commodity, and what does it mean to consume one? In this discussion-based, reading- and writing-intensive seminar, we will explore ""consumption"" and the ""commodity"" as objects of anthropological analysis. Drawing from a range of global ethnographic examples, as well as from popular culture, literature, and other academic fields, we will think critically about everyday practices that are so often taken for granted. We will investigate the complex relationships that people make with everyday things and the roles they play in social life; how commodities can produce and reproduce social relationships and materialize claims about identity or status; fashion and its relationships to capitalism, gender, and appropriation; political and ecological aspects of consumption; and more. In doing so, we will attend to and practice some key approaches to doing anthropology, including ethnographic interviewing, observing, media ethnography, writing field notes, and turning them into a text. Students will write three short papers, describing the ""biography"" of an object, analyzing consumption in a popular culture ""text,"" and writing up original ethnographic data. The final project, developed through these exercises, instructor feedback, and peer workshops, will be a creative analysis of a contemporary consumption phenomenon of students' choice.",,,,
ANTH 22830,"This undergraduate seminar explores popular representations of Indigenous nations and issues across various modes of media such as film, photography, digital platforms, and museum installations. With a particular focus on media forms produced by Indigenous artists, filmmakers, and curators we will analyze these narratives through frameworks of self-determination, resistance, visual sovereignty, and relational futures. Throughout the course, we will consider Indigenous media production(s) in relation to the broader social, historical, and cultural contexts in which they circulate in North America and beyond. The material covered in this course will acquaint students with an introduction to the contemporary debates surrounding Indigenous media and representation as they intersect with the larger fields of visual anthropology and Indigenous Studies.",Teresa Montoya,,,
ANTH 22845,"What work does xenophobia do in the making and marking of nation-states? What does it mean to belong, in a world structured by migration? In this course, we will examine the practices and politics of exclusion, of othering and of unbelonging. Drawing on cases from North America and Sub-Saharan Africa, we will study xenophobia at different points along its spectrum of intensity - from mass atrocities to the seemingly banal ways in which othering and exclusion are baked into everyday life. We will study each case in depth in its own right, as well as how it sits within broader experiences of exclusion and violence around the world and across time. In the course, we will explore theoretical debates surrounding nativism, autochthony, and different forms of nationalism, and the ways they relate to xenophobia. Scholars of migration and belonging have long shown that collective identities are constructed in large part in relation to an external other. Does (one person's) belonging necessitate (another's) unbelonging? In this course we ask: how does the 'stranger' come to be seen as threatening or destabilizing? How does one come to be seen as a 'stranger'?",Kathryn Takabvirwa,,,
ANTH 23003,"What is ""Latin America,"" who are ""Latin Americans"" and what is the relationship among and between places and people of the region we call Latin America, on the one hand, and the greater Latinx diaspora in the US on the other? This course explores the history of Latin America as an idea, and the cultural, social, political and economic connections among peoples on both sides of the southern and eastern borders of the United States. Students will engage multiple disciplinary perspectives in course readings and assignments and will explore Chicago as a crucial node in the geography of Greater Latin America. Some topics we will consider are: the origin of the concept of ""Latin"" America, Inter-Americanism and Pan-Americanism, transnational social movements and intellectual exchanges, migration, and racial and ethnic politics.",Diana Schwartz Francisco,Autumn,,
ANTH 23077,This course examines the history of Indigenous policies and politics in Latin America from the first encounters with European empires through the 21st Century. Course readings and discussions will consider several key historical moments across the region: European encounters/colonization; the rise of liberalism and capitalist expansion in the 19th century; 20th-century integration policies; and pan-Indigenous and transnational social movements in recent decades. Students will engage with primary and secondary texts that offer interpretations and perspectives both within and across imperial and national boundaries.,Diana Schwartz Francisco,Winter,,
ANTH 23094,"Description: This course will consider the relationship between development and the environment in Latin America and the Caribbean. We will consider the social, political, and economic effects of natural resource extraction, the quest to improve places and peoples, and attendant ecological transformations, from the onset of European colonialism in the fifteenth century, to state- and private-led improvement policies in the twentieth. Some questions we will consider are: How have policies affected the sustainability of land use in the last five centuries? In what ways has the modern impetus for development, beginning in the nineteenth century and reaching its current intensity in the mid-twentieth, shifted ideas and practices of sustainability in both environmental and social terms? And, more broadly, to what extent does the notion of development help us explain the historical relationship between humans and the environment?",Diana Schwartz Francisco,Winter,,
ANTH 23335,"Over the last two decades, questions of race, racial identity, and racial discrimination have come increasingly to the fore in France, despite (or because of) the country's prevailing rhetoric of colorblind indivisibility. These issues are becoming ever more pressing on a background of intensifying racisms and right-wing populisms in Europe. The purpose of this course is to offer analytical perspectives about these critical tensions and their ripples across the landscape of contemporary French politics. Using readings from a wide variety of fields (among others, anthropology, sociology, literature, philosophy, history, political science, and news media), we will unpack the discourses and lived experiences of race that have shaped the politics of national identity and difference in France since the late 18th century. We will see that the question of 'racial France' has been intimately bound up with the country's history of colonialism and decolonization, with its Republican ideology, with matters of law and government, with questions of citizenship, religion and sexuality, with recent debates on multiculturalism, and with white malaise and resentment stirred by the growth of right-wing extremisms. In the course of our examinations, we will also reflect on the specificity of race and racialization in France, and its differences from racecraft in the United States.",Francois Richard,TBD,,
ANTH 23405,"War is a destructive force, but also an incredibly productive one in the transformation and reconfiguration of social relations. This course will explore war's presences and absences in social and political thought as well as ethnographies that examine the mutually reconstitutive relationships between war and society.",Darryl Li,,,
ANTH 23501,"In this course we will investigate anthropological and linguistic perspectives on language emergence, as well the social, demographic, environmental, linguistic, and modality (vision, speech, touch) factors that contribute to the formation of new languages. Emerging languages in communities around the world offer unprecedented scientific opportunities to address important questions previously deemed intractable, such as: Where does language come from? How do our experiences of the world influence the way our languages are structured? At what level of abstraction can language be studied as an autonomous object of analysis? The topic of language emergence has tended to focus on the interaction of linguistic, psychological, and demographic factors. We will bring the important anthropological dimension to the topic of language emergence, which addresses the way that users of emerging languages inhabit the world. The readings, lectures, and discussions will address new implications for our understanding of language creation.",Diane Brentari & Terra Edwards,Autumn. Meeting Mondays from 1:30p until 4:20p,"One Linguistics course and one Anthropology course are recommended. Consent of instructor required. 
Note(s): Consent of instructor required; To be admitted, please email Professors Brentari and Edward a paragraph-long description about what you bring and what you hope to get out of this seminar.",
